season,site,parameter,t_mean01,t_mean99,t_slope_behind_01,t_slope_behind_99,t_sd_0199
winter_baseflow,legacy,Specific Conductivity,105.037556915283,378.124445800781,-0.9311355082194,0.962854380289701,60.37404214892807
fall_baseflow,legacy,Temperature,0.0902506849169731,18.2144855499268,-0.0128757368723551,0.0253431180318197,3.989468822110912
monsoon,legacy,Temperature,11.3974325561523,22.5133460998535,-0.0172308858235677,0.0316556034088134,2.21343472794858
snowmelt,legacy,Temperature,7.21469610214233,18.5512775421143,-0.0133603967030843,0.027386683146159,2.406358898662336
winter_baseflow,legacy,Temperature,1.00728761553764,17.0701930999756,-0.0166956965128581,0.0353837814331055,3.4163946400869714
fall_baseflow,legacy,Turbidity,0.381359818577766,61.2715429306025,-2.87609788457553,2.38120932261151,6.239403612770833
monsoon,legacy,Turbidity,0,304.38250732422,-11.1664463361104,9.64635348542526,34.953764085720785
snowmelt,legacy,Turbidity,0,353.023129882814,-17.8497999725342,17.064075302124,46.993352222189884
winter_baseflow,legacy,Turbidity,1.07619746923447,226.877956542961,-11.8284715309143,11.3696209961573,17.08762845772538
fall_baseflow,lincoln,Chl-a Fluorescence,0.00979999989271164,0.687669293880464,-0.052746394276619,0.0539339924603701,0.09193777679883454
monsoon,lincoln,Chl-a Fluorescence,0.011048470903188,3.15208007574081,-0.0218504795183738,0.0268390925054749,0.38158285188096325
snowmelt,lincoln,Chl-a Fluorescence,0.00978656276009626,1.7649169921875,-0.128792619407177,0.147452301730711,0.13648424857309358
winter_baseflow,lincoln,Chl-a Fluorescence,0.0146596030145884,1.11468722343445,-0.0706825827161471,0.0718982940117518,0.20579540886885558
fall_baseflow,lincoln,Depth,0.0236257305135727,0.442548539657593,-0.00141869429111481,0.00211929693651198,0.10852504269192521
monsoon,lincoln,Depth,0.0224283957577944,0.489767135321617,-9.26362284612656e-4,0.00269189552497864,0.11917538462721251
snowmelt,lincoln,Depth,0.0757084491080046,1.31604388526917,-0.00339674906158448,0.00479031024532318,0.26428645988357014
winter_baseflow,lincoln,Depth,0.0819759544916153,0.721277317062378,-0.00126507781982422,0.0020080487487793,0.1462842403773651
